"policyConfigID","policyID","addUnlistedPatient","QA","insightActive","connectActive","validFrom","validTill"
5692,738,True,True,True,False,"2022-01-01",NULL
5694,1619,True,True,True,False,"2022-01-01",NULL
5696,1377,True,True,True,False,"2022-01-01",NULL
5698,1378,True,True,True,False,"2022-01-01",NULL
5700,1379,True,True,True,False,"2022-01-01",NULL
5701,1380,True,True,True,False,"2022-01-01",NULL
5705,1620,True,True,True,False,"2022-01-01",NULL
5708,1621,True,True,True,False,"2022-01-01",NULL
5709,1622,True,True,True,False,"2022-01-01",NULL
5710,1381,True,True,True,False,"2022-01-01",NULL
5712,1623,True,True,True,False,"2022-01-01",NULL
5713,1382,True,True,True,False,"2022-01-01",NULL
5716,1383,True,True,True,False,"2022-01-01",NULL
5718,1384,True,True,True,False,"2022-01-01",NULL
5721,1385,True,True,True,False,"2022-01-01",NULL
5725,1386,True,True,True,False,"2022-01-01",NULL
5726,1388,True,True,True,False,"2022-01-01",NULL
5729,1389,True,True,True,False,"2022-01-01",NULL
5730,1390,True,True,True,False,"2022-01-01",NULL
5731,1391,True,True,True,False,"2022-01-01",NULL
5738,1392,True,True,True,False,"2022-01-01",NULL
5740,1393,True,True,True,False,"2022-01-01",NULL
5742,1394,True,True,True,False,"2022-01-01",NULL
5744,1625,True,True,True,False,"2022-01-01",NULL
5746,1395,True,True,True,False,"2022-01-01",NULL
5748,1396,True,True,True,False,"2022-01-01",NULL
5749,1397,True,True,True,False,"2022-01-01",NULL
5751,1398,True,True,True,False,"2022-01-01",NULL
5754,1399,True,True,True,False,"2022-01-01",NULL
5757,1400,True,True,True,False,"2022-01-01",NULL
5759,1626,True,True,True,False,"2022-01-01",NULL
5763,1401,True,True,True,False,"2022-01-01",NULL
5766,1402,True,True,True,False,"2022-01-01",NULL
5863,1198,False,True,True,False,"2022-01-01",NULL
5864,1199,False,True,True,False,"2022-01-01",NULL
5865,1200,False,True,True,False,"2022-01-01",NULL
5866,1201,False,True,True,False,"2022-01-01",NULL
5867,1202,False,True,True,False,"2022-01-01",NULL
5868,1203,False,True,True,False,"2022-01-01",NULL
5869,1204,False,True,True,False,"2022-01-01",NULL
5871,1205,False,True,True,False,"2022-01-01",NULL
5872,1206,False,True,True,False,"2022-01-01",NULL
5873,1207,False,True,True,False,"2022-01-01",NULL
5874,1208,False,True,True,False,"2022-01-01",NULL
5875,1209,False,True,True,False,"2022-01-01",NULL
5876,1210,False,True,True,False,"2022-01-01",NULL
5877,1211,False,True,True,False,"2022-01-01",NULL
5878,1212,False,True,True,False,"2022-01-01",NULL
5879,1213,False,True,True,False,"2022-01-01",NULL
